JobID,Network Id,Existing 035a,Incoming 035a,Action
UWO_1012743_1748081412178::bib::119392,994450637805151,1432337879,1432337879,match
UWO_1012743_1748081412178::bib::1194794,992074450105151,11491998,11491998,match
UWO_1012743_1748081412178::bib::1195822,991550589605151,16316785,16316785,match
UWO_1012743_1748081412178::bib::1197885,993363033105151,682257881,682257881,match
UWO_1012743_1748081412178::bib::1201321,992541940705151,862945064,862945064,match
UWO_1012743_1748081412178::bib::1204761,991967672805151,1069564916,1069564916,match
UWO_1012743_1748081412178::bib::1217334,991856981905151,496594333,496594333,match
UWO_1012743_1748081412178::bib::1219619,991427723305151,1069512610,1069512610,match
UWO_1012743_1748081412178::bib::1220558,991834003005151,1069286290,4406832,match
UWO_1012743_1748081412178::bib::1221870,992035226405151,259266781,259266781,match
